ra,dec,b1mag
274.406806,-36.761681,3.1
305.252807,-14.7814,3.1
258.757967,24.839202,3.1
292.680366,27.95968,3.1
134.80185,48.041682,3.1
162.406202,-16.193646,3.11
133.848442,5.945564,3.11
254.655048,-55.990142,3.12
87.739971,-35.768309,3.12
140.263757,34.392568,3.14
142.805496,-57.034378,3.16
258.76181,36.809162,3.16
99.440298,-43.195934,3.17
281.414113,-26.99078,3.17
76.628719,41.234475,3.18
76.365279,-22.371036,3.19
254.417071,9.37503,3.19
72.460047,6.961277,3.19
220.626777,-64.975131,3.2
230.343019,-40.647516,3.2
267.464521,-37.043285,3.2
244.580373,-4.692458,3.2
302.826207,-0.821423,3.2
284.735928,32.689555,3.2
318.234097,30.226944,3.2
143.214269,51.677312,3.2
257.196803,65.714683,3.2
322.165073,70.560751,3.2
354.836674,77.632336,3.2
275.327502,-2.898826,3.23
211.592906,-26.682361,3.25
226.017559,-25.281964,3.25
56.809749,-74.238963,3.26
153.434242,-70.037904,3.29
78.232919,-16.205479,3.29
231.232395,58.966063,3.29
63.606196,-62.47386,3.3
191.570313,-68.108013,3.3
158.006098,-61.685333,3.3
68.499065,-55.045039,3.3
102.04772,-61.941315,3.3
112.307631,-43.301434,3.3
44.565633,-40.304673,3.3
260.502385,-24.999496,3.3
117.323568,-24.859792,3.3
286.735026,-27.67042,3.3
343.662514,-15.820776,3.3
9.832045,30.861012,3.3
282.519983,33.362662,3.3
258.038306,-43.239189,3.32
269.756636,-9.773633,3.32
46.294141,38.840276,3.32
183.856501,57.032618,3.32
168.560018,15.429572,3.33
101.322353,12.895591,3.35
28.598859,63.670101,3.35
203.67329,-0.595826,3.38
193.900871,3.397469,3.39
332.713656,58.201262,3.39
154.270713,-61.332301,3.4
16.521147,-46.718468,3.4
228.071236,-52.099249,3.4
22.091369,-43.318229,3.4
241.092207,-11.373117,3.4
81.119343,-2.397099,3.4
291.374567,3.114778,3.4
266.614644,27.720672,3.4
28.270456,29.578826,3.4
154.274133,42.914383,3.4
127.566051,60.718162,3.4
311.322402,61.838786,3.4
340.365504,10.831363,3.41
311.239559,-66.203213,3.42
286.562246,-4.882556,3.43
154.172571,23.41731,3.43
17.147466,-10.182265,3.46
258.661886,14.390367,3.48
250.724021,38.922254,3.48
342.138739,-51.316868,3.49
276.743401,-45.968459,3.49
26.017016,-15.937477,3.49
131.693866,6.418778,3.49
225.486509,40.390566,3.49
83.406335,-62.489822,3.5
119.194634,-52.982344,3.5
149.215593,-54.567784,3.5
261.348701,-56.377858,3.5
102.460248,-32.508477,3.5
207.376167,-41.687752,3.5
178.227201,-33.908117,3.5
105.429782,-27.934834,3.5
264.396662,-15.398557,3.5
284.432499,-21.106651,3.5
55.812091,-9.763389,3.5
237.405125,-3.430187,3.5
60.170069,12.490344,3.5
145.287642,9.892308,3.5
83.784473,9.934112,3.5
124.128836,9.185553,3.5
332.549859,6.197755,3.5
110.030779,21.982335,3.5
151.833136,16.762734,3.5
169.619736,33.094302,3.5
228.875668,33.314834,3.5
342.42007,66.200408,3.5
299.689283,19.492148,3.51
342.500806,24.601582,3.51
67.154167,19.180433,3.53
173.250479,-31.857623,3.54
302.181704,-66.182069,3.55
214.850926,-46.058095,3.55
86.738919,-14.821949,3.55
34.127439,-51.512165,3.56
253.083936,-38.017537,3.56
169.8352,-14.778541,3.56
4.856978,-8.823918,3.56
185.340037,-60.401149,3.59
177.673829,1.764719,3.59
24.498156,48.628213,3.59
195.567729,-71.548861,3.6
176.401753,-66.72875,3.6
130.073278,-52.921911,3.6
262.774632,-60.68384,3.6
313.702512,-58.454158,3.6
234.513353,-42.567346,3.6
230.451555,-36.261373,3.6
142.674873,-40.466761,3.6
64.473633,-33.798362,3.6
234.256051,-28.135075,3.6
86.115823,-22.448382,3.6
79.401629,-6.844406,3.6
304.513554,-12.544866,3.6
21.005848,-8.183271,3.6
152.646981,-12.354055,3.6
51.203328,9.028879,3.6
42.495971,27.260511,3.6
116.111876,24.398005,3.6
22.870875,15.345828,3.6
154.993382,19.841311,3.6
64.948343,15.627647,3.6
109.523243,16.540391,3.6
57.290594,24.053409,3.6
67.165571,15.870879,3.6
103.197246,33.961254,3.6
345.480332,42.325938,3.6
217.957462,30.371437,3.6
250.321718,31.602772,3.6
135.906386,47.156514,3.6
211.097245,64.375853,3.6
275.264048,72.732815,3.6
266.433283,-64.723872,3.61
253.645858,-42.361315,3.62
116.313733,-37.968584,3.62
271.657795,-50.091478,3.65
130.898073,-33.186385,3.68
347.36165,-21.172412,3.68
309.387233,14.59511,3.68
146.311715,-62.507903,3.69
176.51256,47.779405,3.69
9.242853,53.896909,3.69
240.883757,-57.775046,3.7
319.966435,-53.44946,3.7
159.325518,-48.225607,3.7
28.98945,-51.608868,3.7
118.054321,-40.575782,3.7
286.604814,-37.063495,3.7
239.221158,-29.214074,3.7
70.110458,-19.671486,3.7
321.666783,-22.411305,3.7
325.022701,-16.662355,3.7
27.865141,-10.335043,3.7
53.232691,-9.458258,3.7
131.593912,-13.547736,3.7
343.15357,-7.579617,3.7
51.7923,9.732748,3.7
298.828309,6.406748,3.7
72.801519,5.605101,3.7
73.5629,2.440658,3.7
349.291407,3.282289,3.7
271.837349,9.563796,3.7
236.546903,15.42181,3.7
56.218957,24.113351,3.7
221.246768,27.074201,3.7
231.957211,29.105692,3.7
269.44119,29.24788,3.7
316.232754,43.927861,3.7
89.881808,54.284676,3.7
